target,text
n,"Hope everyone had a merry &quot;MAKE IT SEVEN DAY!&quot;  By the by, I am not happy with the Tarheels being eliminated from the CWS last night.  "
n,why can't my dreams become reality? totally stuck in a rut. 
n,Who wants to come play me a lullabuy? I need one 
p,@paulyd there's always next year! 
p,I Founds It 
p,"I waited up for the Sniper update and now it's here, I can't be bothered to play it xD Ah well, Blogging now "
p,@JohnLloydTaylor thanks 
p,@whatsnext  I am glad that Domino's took action against those guys - still ultra gross but I guess I could give them another try 
n,"Waiting for Ramsy to come pick me and my sis up... Heading down to Arlington to bbq at Jermz house. Nope, not Danas house. She aint there "
n,@djpeckpeck hahaha I was too busy laughing that I forgot to give him water. I killed spongebob 
n,"Is reaaly starving , and thinks that @bryceavary should get his ass on tour SOON "
p,Is watching the disney world parade and fireworks with Brett 
n,ugh. youtube is down 
n,i hate my pale scottish skin! burnt already  lol
n,"Ouhhhhhh, so tired. I miss him so muchhhhhhhhhhhhh "
n,sooo lazy...have nothing to do anymore 
n,"@vMichaelv off the subject, what happened to Millionnaire Matchmaker? i remember a mock in one of your updates, and now no more Patty "
n,@melmer44 MEL!!!! Where have u gone?!  Check your Myspace btw....
n,@DyminNtheRough hi hope you have a great day too... im at work 
p,"@norcalvlog Awesome, always look forward to your music "
n,@jgray6000 ask daniel. he broke it 
p,sitting with my partner @hennyb Dir of @ahamedia   he has brandy and chilled strawberries for us to celebrate our work #vdw09  
p,'Just because you move your hips doesn't mean that you exisit&quot; hmm I'm jammin 
p,Sober baby 
p,@Billy3G Well that's what school is about: getting your beauty sleep befor the long night ahead.  Been there done that &amp; Miss it!
n,i hate going on base.....  gotto take bella to the vet  have a great monday
p,@judysteapot D'oh! Happy Belated Birthday for yesterday! 
n,"@ohlauren I'm looking into upgrading, but our carrier was just bought out and the entire thing is a mess right now. "
n,@bluefloor  It's cause I forgot it was Sunday and I have one channel to choose from.
n,@gr33kfire  sounds not fun
p,@drhorrible Congrats to Jed and Maurissa  What a dream team
p,When will Seesmic Desktop implement Friendfeed back into the app? and/or seesmic video? will it be the one that does it all? 
n,getting ready to leave...  and surfing totally beat me up yesterday. The bruises I've acquired are pretty 'gnarley'.
n,@amy_p hahaha I wanted to eat that Chicken 
p,"@freakyleeky um, hey hun  sry it took me so long to reply. was tryna focuz on finals... so much that paid off. smh. ANYWHO. how r ya boo?"
p,Or I will be...when it starts. 
p,http://twitpic.com/6ipqn - i have these moments a lot  @TomBardacky
n,@GQBugs  so stressed  i rather it downtown
p,@jonmartin8623 lol why do you say that?...eee! i'm almost done! 
n,Hunger is second only to war on the list of things that screw humans over! And i'm hovering around the 2nd spot right now 
n,@boombaybay &amp;&amp; @bellatwinsnet - i miss youu twoooo! 
n,@sundaybusiness None of the links you've provided in recent tweets are working 
n,spent the whole day at my grandparents' house sorry @reichenberger13 for not going to your party..still grounded.  I hope it went well :]
p,Type-based Analysis of PIN Processing APIs has been accepted at ESORICS! 
n,fuzzy bear means.. my teddy bear.. my comfort.. he rocks and makes me feel the right way...             awww..i miss him!!!
p,@Steph_Atticus Thank you 
p,sperm sperm sperm 
n,@manderrx27 Awww! Now I feel bad I took so long! I went to get dinner and forgot my phone!  Could u ever forgive me?
n,@greensuburbs i liked it 
n,@gobecca wake uppppp  i thought u said u were gunna b online at 11 :|
n,im so bored and i still like him 
p,@fogbugz i'd love to see a Fogbugz iPhone or Android app. Kiwi icon on your phone 
p,Want to cut my hair as Lightning 
n,@Rhispect ohhh. 
n,@ShannerNanner I got really sick suddenly today.... It's been a terrible day 
n,@JessScorpio It's evil! &amp; the number the NHS gave me 4 an emergency dentist isn't even 1! I now have 2 wait till 8am on Lundi! Paaaain  xx
n,"@calire excellent, thanks very much for confirmation. It does say second on the Alexa's Facebook page, just shame page won't load. "
n,Run's House makes me miss kyle  I need to fly him down every Monday just so I can feel at home!LOL
n,feels like his tweets are being lost in the internetz. 
n,"@Adrienne_AJ_  too bad, but when work for the Government u hav alot of free time on your hands lol"
p,@maryyxo  MARYYY we havta hang out this week ok!  i hope your having fun with your gym classes;) haha
n,@randomrradio I've got so much I want to do over the summer too but I'm getting the urge to pick up WoW again 
p,Finally I cleared my room out  It seems so empty now.. :O
n,@IamNewYork nuthin much just gettin ready 2 head bk 2 wrk  n u???
p,strawberry milkshake...mm nice XD lol and then ..some ice cream  XD
n,I need to drive around and charge my phone. Ugh 
p,"Jilly and I had a great date night! Saw the play &quot;Rent&quot; it was awesome! Got our birds all outside now off for a run, have a great day! "
p,"@JstrPenguin : it's hard for me at a start too, but as i tweet, it slowly become part of my habit, now i tweet everyday.. "
n,ok does anyone know what agenda settings from the mccombs and shaw thingy means? 
p,@StoneZoneShow 
n,hey dont you feel sometimes like people doesnt notice ONLY you? i mean they notice everybody but not you.. 
n,"@friskywhiska Oh no! I did, but we bought one at the park - sorry "
n,: i miss my family  happy father's day dad &amp; joseph!!
n,"Create income from home, one step at a time:  See http://bit.ly/r21Zus --Has a bad feeling about college "
n,There's nothing like the smell of a fresh cat deuce while playing #wow dang litterbox. 
p,"@cris1015 My goal on stocks like $MTXX is to help, if just one person avoided this stock on my post, would make the keystrokes worth it.  "
n,"@fish_ haha I do too, work took my mac away  so i'm going to grab an AIR when I'm less poor."
p,It's official: I love twitter  limiting myself to type few words dont even bother me no mo lol
n,forgot to turn off the alarm. now im wide awake and its sunday 6 am. fml 
n,whimper foot pain!!! 
p,"More cherry blossoms, at night.   http://twitpic.com/2yazf"
n,@Labanya_x3 aw that sucks 
p,@KristenReed Oh you know I will. 
n,that tripple chocolate ice cream was too muchh!!! YUCKYYY 
n,hey! im like cut out of my profile pic 
n,Has cooked and eaten beehoon and now wondering if there's anyone who will help her to iron clothes. 
p,@nph Thanks! http://tr.im/ibing works nicely (FWIW 
n,@Linda_Sgoluppi it will be here... next week... postman dont come on a sunday  and i offered him a fiver 
n,why can't i sleep 
p,@vdlee2009  HAPPY MOTHER'S DAY MS. VERONICA!!! 
p,"@itsalexa haha, dont we all al "
p,"Steve and I found a geocache in KL, after a bit of sweating.. not sure if it was the heat or the walk "
p,@thekoolaidmom Please don't eat my brain. Please. 
p,@jessstroup - totally agree with the Rob Pattinson is a cutie. Wouldn't mind having him anyday haha 
p,Heading to our friend's house in Uphall for a BBQ 
n,@shellytyndall wonderland!!!! lucky 
p,"@adbert ALITHOS ANESTI  As I said, soon you'll be speaking Greek better than @Koufie and me "
p,@paulboth ahh thanks! 
p,@sleeplessgirl lol thanks! 
n,@BenSpear I JUST GOT THOSE STEAK SLIDERS. WTFF?? That was so gross 
n,Back from the Lakes. Nice week. Not long enough really and got sucky at the end thanks to a cold!  But fun while it lasted!
p,Counting the money we raised from our Celebrity Lap yesterday 
p,"@schaeferj89 what you said to @lewisusher sounded sexual, even though i dont think it was meant to. haha "
p,"Back to work after a 3 day weekend.  Reality rears its ugly head! Oh well, it was fun hangin' with the kids an extra day! "
p,@sarahockler Congrats on your book release!! *HUGS!*  Hope you have a wonderful day!
p,"@lisarosendahl Never heard of that one, but the mighty mighty internet says &quot;wrap it up in bubble gum and send it to the Navy.&quot; Funny! "
p,@gfalcone601 night gio! sweet dreams! 
p,woop woop DIVERSITY .... susan boyle is out of her mind ....i am so happy diversity won  
p,@PowerSellingMom  positive Tweeps unite! 
p,"@KoreanCelt @Trish1981 I give @ryansporn an A, too. "
p,@gregjames I shall try not to  Where's @producerneil? Planning another form of revenge perhaps? ;)
p,@djsamhouse http://twitpic.com/6fb76 - lookin good lol 
n,Stomache ache from hell 
n,home from maine. back to suckington! ah school tmrw 
p,@jammyrabbins I would listen in a heartbeat 
p,@shaynethurston Awww - what a lovely thing to say 
p,@mileycyrus that is so sweet! i love watching old baby videos with my family! 
p,Went to the gym this morning. Took a core pilates class. Totally feeling the effects just now. =( Oh well. Still going again tomorrow! 
n,@shanealexander I loove TD... until it puts you in time out  ... I'm in twitter lockdown as we speak...
p,@makemebad35 you make good videos. The guys that say that are just dumbass' who can't make good videos. You probably hear this a lot. 
p,"Chicken, lamb and drinks at Amber India were amazing.  Now Star Trek. Evening dies not suck "
n,@katyperry hey katy when are you going to philippines? 
n,My MacBook Pro Super Drive is now officially dead!   Not a
n,"@isewcute yummy!!  but sorry, no idea about packaging "
p,@benkowalewicz Oh don't I wish he was real? Why do people make these celeb tweets and pretend to be them? O.o Maybe I should make on  muah
n,Coud cover here in SE Lower Michigan so no occultation viewing from my area &amp; probably no meteor shower in the morning either 
p,"About to teach a nice dynamic yoga class at darlinghurst ff, come along "
n,"@missmei Swingers? I'm jealous  Damn it (swingers, couples fun, swinging, watch another guy plough my wife like a mug)"
p,@QTI9422 I read it ... grrrrrrr!!! fucked emo facebook  at least i can chat with boys there XDD
p,"@nickolaswriter I was amused it was only guys who commented. I figured I'd see some camaraderie from some of the girls, but oh well. "
p,@shannonulation can you find me on tumblr ? ill follow you 
n,back at work today... how exciting! 
p,in in desperate need of a vacation! off to Tampa for the week with a few of my favorite people 
n,Ok so i walked 2 of those country miles out of my way...I hope im not lost 
n,"wow, okay torn ligaments.. ankle braces suck, no soccer for like a month dang.. "
p,@Esa03 guess what! I rented TWILLIGHT last nite and gonna finally watch it today.  It better be good! Lol
n,I know ima have a bad dream....its diggin its way to the surface...that's why I dopnt wanna sleep 
p,"is extra bord, bout to feed archie "
p,is going to take a nap before she goes into the garden to eat. Parents make a barbeque as its really warm today 
n,"@sloanesimpson Hey, i got the car back.. still not working well though  i can meet you now whenever. just tell me when."
n,Is getting ready to have a EKG 
p,still watching GG with Ross 
p,"And just now i finished Resident Evil 5 \o/ Really good game, only the controls were a bit annoying, but I got used to that "
p,@mattlaijunloong Remember to bring your lappie tomorrow so that I can teach you excel after SUNES! 
n,My head is still all kinds of fuzzy weirdness 
n,@Faddee i cant understand any of your updates  puss
n,going drinking tonight... drinking away the blues......  
p,"@DakotaCassidy Yeah, blondes are awful. "
p,@thewhole9 our songs on. 
n,have to run to home depot again.  this is the 2nd time today already. wish i was as handy as most men. 
p,should really be sleeping. Music is awesome for nights .. errr mornings like this 
p,@jackleon happy birthday!!! Hope you have an awesome day! 
p,You look like the kind of a person who would take me to a party on the wrong side of town 
n,"spent $178 on a serpentine belt + labor, new tire + labor, coolant system flush + diagnostic, and tax. Nice, but do need a new water pump "
p,I just reached 100 followers! I'm officially a cult! 
p,Eating soup  Dad bought tickets for us to all go to the Sydney ACDC concert!
p,"@valdiskrebs you're speaking in tongues, bring on the exorcist! "
n,@ddlovato awww dont feel like that.  your voice is gonna come back believe me  just dont talk that much
p,@MelRoc7 no i can't believe it's already june but i am SO excited because we're one day closer to july and funzies  haha
n,"@CLevis107 Conorrrr! Sry if I did something to annoy you tonight, you seemed rather frustrated "
p,I love lazy sundays... I think I might have a marathon later tonight.. OTH or GG..  Which one should I chose?
n,"GD owes me hug........,....... Ugh no its okay boney hugs won't make me happi.. I'm still upset "
p,estou a ver todos os #followfriday com um enorme   thanks for everything !!!!!!!
p,"@TiaMowry It's such a good movie, you will like it "
p,I don't see what anyone else can see in anyone else but you 
p,Goin see my mommie I love her so much 
n,I don't wanna one change in mi life... I wanna take the best of this two years 
p,Baby just wants to dance 
p,@nealholyfield Hope you're getting your drink on 
n,is trying to sleep but cant keep my eyes closed.  x
p,"Going to make a Hot Chocolate, and then visit my favourite music blog: http://www.moteldemoka.com/ "
p,While we were in Honduras we got to experience a 7.1 earthquake first hand fortunately noone was hurt 
n,@wllshrmn last time i was in nyack my chain snapped.  Toga picked me up in a truck and drove me back to the shop!
p,It's amazing how many really interesting people there are 
p,reading &quot;dear john&quot;!!! it was nice talking to @TalindaB again 
p,@avongirl1  Thanks for following. Have a great week! Hugs 
n, robert didnt answer the phone on this herr food run. Whata sucka. Omg and cute guy bought some rosy reds offa me. Holla
n,tweet deck is crappy. it's all flippin out &amp; closing on it's own.  -- back to twitterrifffficccc !
p,@mikestopforth you look eerily like @xsyn in your new pic. Freeking me out! One is enough 
n,I hate going online and looking at the balance in the bank.  its always a lot lower than I need it to be.
p,I hear you @silentending...  
n," man, thats soo terrible. why cant you see you belong with ME?!"
p,TGIF! Today is a wonderful day! 
n,"@nifty_ba http://www.resellerratings.com/store/1_Sale_a_Day  Good deal, bad seller."
n,isn't having the greatest night. 
n,"Woke up so late that the mail was already here, which means no new Netflix movie til Monday---boo! "
n,@Owais_Iqbal stuck with this small screen of cell... 
p,A great night  and great date  happy CyNthia
n,@yokie I Have A Dollar!? Does That Help You Get Gas!!?  I'm Sorry;; I Urge You To NOT DRIVE Your Car Here! :-p &amp;wheneveryouwant
n,i wanna move to Cali so bad!!!! i miss the beach.... i miss my family 
n,headaches...owwy 
n,@alexxipharmakon  sex should not be used as a weapon. Sympathies.
p,"&quot;yeah but you were my douche Brian, MY douche... come back and be my douche&quot; "
p,@rach_rawr GARGARGAR I'm so happy you too have succumbed 
n,mann ma stomach hurt . baaaaad . and i still got another 30 mins for i go bck homee 
n,@sigmamakeup good morning! I was wondering when the kabuki brush is going to be back in stock? 
n,"@NKANGEL74 i hope that you get to feeling better, being sick is no fun  and it seems like everyone is getting it this year "
n,my mom tricked me. :| she said we were going to the mall but instead we went to go to the grocery store! :| Dang. i really wanted to go. 
n,toothache isn't much fun 
p,@WandaYosfiani ndaaa batre bb aku abissss.. don't worry be happy 
n,@Jojofrench i'm @school. very bored 
n,is getting hungry tagging all these sushi photos 
n,as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol
p,@the_chaser_ Awesome looking forawrd to it 
p,Enjoying some family time 
n,what to add to my ipod? im bored 
n,gotta study again! back to exams tomoro 
p,@MissSam001 you look like a hot mess 
n,poor followers  i dont tweet as often anymore. shtink.
n,My phone is gone  Being phoneless is the worst. This temporary one is a piece. Any suggestions on what kind of phone I should buy?!
n,"@WayTooLoose yeah, i cheated on it.  lol"
n,ar mate ive got no chance of winning that topshop competition now  booo.
p,is obviously not studying  http://plurk.com/p/sx724
p,@NitLife Claim it girl! have a lovely day! 
n,Sign turned off as we approached! It's a closed 
p,@DBaker817 I do..and then I am an empty nester. Kind sad to think about. I have no doubt that all your kids are awesome. 
n,Mapping zip codes to parse into db for recruiting portal. Fun 
n,@dirtmuscle i think my tummy jus growled 
p,I know so many amazing women!  So glad they're my friends!  
n,@mileycyrus Know how you feel about missing you mom! I haven't seen mine in 9 months  Hey btw great movie
n,p.e first thing could it get any worse 
n,Its sooo hot. Far too nice to be stuck indoors working 
n,just snoozed my alarm for an hour....boo being sick 
n,"craaaap, havnt updated in a whileee "
n,missed eastenders !!  going to watch now on iplayer
n,is handling telemax! I hate being a message center 
p,      hmmmm.... i wonder how she my number @-)
p,"More Sopapillas, Please!  Had a fun night at Casa Bonita!  I love that place! "
p,"full off fried rice + peanut curry, watching movies with my iceland lovee "
p,Going to our soon to be new house. Blah. 
p,@_MoisesArias wow that so early! How do u wake up THAT early?! :0 
p,"@cdonough I'm thinking pretty much forever. Selling one's self is apparently, HILARIOUS. "
n,"No cable tv, DVD player broke and no waffle mix...Lex is one sad panda. "
n,"Oh man, I'm going to miss back-to-school gossip. "
p,@AndreBass lame  morning
p,@pdurham Oh no! I did that once.... not good. Good luck! 
n,"can't walk, my foot hurtts "
n,is all dressed up with nowhere to go  http://plurk.com/p/x9r39
n,Just spent from 4 til 1130 working on a school project on campus  now has a 10 pg paper and final monday 
n,It has been so nice outside I have been spending all time time out there and ignoring the twitterverse in here. Sorry 
n,going to the trailer... no internet for the day 
p,"Going out to breakfast, then work 1:45PM-10:45PM... Working the updated 3PM Parade! "
n,writing short story for english 
p,goodnight world :] getting up early to surprise sami wiff david! hahaa 
p,@etcetering thank you. 
p,@agustina1 taylor swift...one republic...katy perry...sara bareilles...all day guarantee u listen to those cds u won't b dissapointed 
n,has a headache not gud 
p,and we all float on 
n,Bummed that I will miss @amandapalmer play the Union Chapel. What an amazing venue - and only a 5 min walk from my house! 
n,I'm not sure why I bother fixing my hair in the summer. The second I leave the house it's going to friz! 
n,At work. Still waiting for the lorry to get back. 2 hours now 
n,"back to work  Wishing I was helping Gary move things again today, oh well... A day and a half of work and then the weekend."
p,"@DavidArchie just finished making MANGO TIRAMISU..  ei david,want some?lol."
n,@jbmcdlts I should be in London...but instead I'm in freaking KENT! Should be in London tomorrow too! Boo Exams! 
p,I got me some red carpet dates when I go back to Miami 
p,@pauliusuza re upload it. Its a known issue  (BTW Love the background)
n,i almost got attacked by a tree just now 
p,@prophpeezy Is on his way! U should follow him !  he's real good ppl
p,"Going to beach with some friends, it's so nicely hot in here. Have a good day everybody  @katie_fruitcake love you"
p,@ShellyPreston hello fairy lady  xxx
p,"@THANickyJ Happy bday then, nicky j! "
n,@VisitLancashire That won't last very long  I run a campsite &amp; venue in FOB and watch lambs learning life skills - with little point.
n,i want my flippin picture to show..  now i know how @EmilyyBrowningg was feeling. GAY grrr lol
n,I fail at Twitter this month. 
n,Great Weatherr  .. Bad News  .. Workin At 5 .. Manager Annoys Me  .. Badd Times  .. x
n,Uhh i guess they went out to eat? Still waiting for them to get back 
n,@KraseyBeauty omg. Lucky bum  Canada always miss out awesome events like those. Lolz keep us up to date tmr 
p,@osubrad04 When someone asks for help... You get tons of new followers!   
n,@mealesie I hope she's ok  haha
n,@Astro_Mike are you not in space anymore?  
p,@jp1983 I might go rent it at the movie rental tonight!  We should watch it together and tweet during. See who types zzzzzzz first. LOL
p,We finally made it home... What a long drive. At least I discovered this huge field of windmills. So happy 
n,3 more followers to 100!! woo! uhmm i feel like a noob with 97 followers  &lt;--- lmfaoo who sayss noob??? oh wait. me. im such a loser.
n,It's BOILING 
n,@LKM I just read your âNew Fileâ? article via @daringfireball &amp; Stationary Pad doesn't work for bundles like OmniOutliner &amp; iWork files. 
p,im out for awhile. 
n,Photo: endofmarch: Makes me want for long hair again  http://tumblr.com/x6s1wuy05
n,my life is soooooo boring.. boooo.. i wanna go back to nasty fish 
p,Is actually getting excited for NFG 
p,can now play apologize on the piano! yayness! 
n,@lazyjohn00 how depressing 
p,"@damonbaker Who does good breakfast?? Umm i could go for pancakes!! lol  Haven't heard weather report yet, have you?? xx"
n,Ugh. So tired. 30 mins of sleep wasn't enough. 
p,ugh i wish this school year would go faster so i can move on in life 
n,eco hwk makes my brain ache soooo much 
n,"Sitting in envy, enjoying a couple of chilled drinks before we head off to the airport! Don't want to leave "
p,ooh me and zerlene going to yardies around 10pm!  yesssss
p,just woke up and is reading a book for school / eating cheerios mm 
n,@VoltjanStevens - My fault.  Sorry.
p,@ddlovato fly on the wall 
p,@coolsi welcome to my friends list 
p,Let's make that road test 
n,My battery is about to die . . . 
p,So basically the beach is awesome. . .and also theres a hot tub in our house 
n,Wish I had a grilled cheese or something. Cereal won't do it right now. 
n,Had a love weekend with my other half. Can't wait for tomorrow...then he's off to work for the rest of the week 
n,@laurajane1594 owen only give me one kiss I got 2 off the others 
p,"@lilzigz1 We definitely love our Pickle, our Cheese, &amp; our Ketchup.  And the Bun."
p,@j3wfr0 will do 
p,@ElycePhillips i need to pass my last essay or i fail the subject lol. im watching supernatural later  im drinking wine while listening..
p,live chat with Kutless!! i love you guys!! 
n,Back is spazzin out ..i hate this pain already 
n,why did sociable allow the ugly &quot;twit this&quot; in their last update?  looks horrible with all the pretty icons 
n,Whats is up with me! I am spilling everything 
n,SS essay... 
n,Lost almost ten pounds last week whoop whoop!!! Feeling great.. If only I could find that darn keycode 
p,Express has really cute jeans for your butt. And that goes for both guys &amp; girls. 
n,"@CortanaV I can't sleep, and when I hop on the computer, Bnet is down? That's wrong on so many levels.... "
p,@mandis13 kick ass 
p,"@larrysullivan Not sure how many, but it was loud &amp; very difficult to hear those speaking at the mic. Still mostly peaceful though. "
p,Going on holiday in 6 days  yay!
n,trying to get over my cold 
p,@polastre the panel was very nice and by far the most interesting one I have the chance to hear. It surely put TinyOS in perspective. 
n,@pdnf fuck I really want to see you guys. I'm trying to think of how to go. 
n,my throat is sooo sore right now 
n,@MSHYMAINTENANCE smh@u u aint show me no luv on friday 
n,in computing class i have a sore head 
p,@wishdreamhope i like the new name! 
n,@KellyShibari damn we're talking LA then...I bloody can't make it!! 
n,Time for bed. No power 
p,@StaceyMonk no one could accuse you of lacking in enthusiam and commitment - you deserve to win for that alone  best of luck!
p,@MyCheMicALmuse Oh is it?  it's 14:58 pm. I'm just fine and you? 
p,is off to school (: @davetran im wearing your necklace  because tammi wants to know if i actually have it hahaha(:
n,@LauRenxExCarter @PoloBandit he didn't come to school 2day 
n,library day... Again 
n,So excited about Sims 3! But I have to wait to buy it next week when I'm less broke... 
n,http://bit.ly/cTDEd  &lt;&lt; watch that  Mariah (:
n,@MrAnt704 shit suck! i need it to dry up man...i was suppose to start partying for my birthday month this weekend 
p,"@zostix @elleohvee   City Lights, Trattorias &amp; Coffee shops in North Beach, What could be better?  Sounds like the most romantic day! "
n,@pepsi Please don't make Mountain Dew Throwback go away I love it 
p,laying out. i need a tan.  aha. text me. 
p,@yuvipanda Direct access dint strike me at all   How is it at your college ? Unadulterated internet access ? 
p,"@vijay750: Since 2009 Jan, BRK-b -12%, NASDAQ: +1.5%. S&amp;P500, DOW -ve.  BSE: +43%, Larsen +90%..Time the $$s start flowing to India again "
n,"@sn1357 were not going next we are we? Shocking, madness and Mrs Bryan has already taken my tuesday and most of wednesday away from me! "
p,Raining in florida but still enjoying it.. 
n,I have terrible timing 
p,@smileymiles http://twitpic.com/7d66u - Ahh. VERY VERY Pretty .  Your Eyes Look Gorgeous. Haha. Cutee. 
n,@dmchapman mine's now at the bit where itunes can't connect to the itunes server for post-install stuff 
p,@NiaVardalos hilarious that you took their pic. Loving the pics 
p,"@teacherken Hey Ken, I'm not messing with you after reading this!  http://tinyurl.com/m3zh5r"
n,is doing hmwk 
n,go to lunchh with --people 
p,homeworks and than TV  see you later twitt 
p,It's such a beautiful day 
n,"@DawnStensland hahha no prob, I would have watched FOX29 but their not on this hour, will be watching tonight at 6pm--to bad your not on! "
n,so many things that I didn't want to say  now... all know
p,@steph_hadi that's what I am doing too  except oj and a book too 
n,@Curlyminx ....Monday. It'll be a nightmare getting to appts &amp; I don't want to be asking for time off already 
n,@mikasantos yeah.. and i also wanna see Transformers 2.... 
n,soo bored someone amuse me! 
n,Kuya Seve put my ugly dark age picture in my Anvaya card  HOW SAD!
p,@uncleplayground if only it wasn't $140 - it would make my eyes sparkle 
p,@mileycyrus i loooove cheese cake 
n,is really tired... 
p,Graduated...now both a uf alum and grad student!! 
n,Hey everyone - it's my birthday today but I'm not doing anything special at all - didn't get organised - one boring day - go to gym tho 
n,"sometimes i just don't know why people have to talk in a bitter way, why?  sighs .. that make me think i don't even want to talk to them "
p,@jshe i'm going offline for awhile  see you tomorrow!
p,They make such a cute hippie couple  http://bit.ly/19X7lp
p,@jaredkastriner i'll let you know how it goes 
n,"cavs  but its over and done with. MAGIC &amp;&amp; PENGUINS FTW. bets are on! common team, don't let me down now."
p,@se38 That answer should be 42! 
p,@harrietglynn 20% off if you buy today   Will adjust your invoice.  Even sale patterns!
p,eSapce at Automech 2009  another success story: http://is.gd/RpJZ
n,still not finished this fucking junior cert  last exam tomorrow..music. better go study some Carmina Burana &amp; 59th Street Bridge Song...
p,@onlyJesus777 thatÂ´s true.. we all will finish develop em! 
p,"@AdamLambertAI Is it true that fans can meet the finalists after concerts this summer? if so, def. want to buy tickets asap! "
n,@johnnyphaze heheh cuz my bday is august 7! but yeah woulda been funner if u guys could make it. 
p,"HAPPY BDAY 2 1 OF THE GREATEST MOST UNDERRATED MC'S 2 EVER TOUCH A MIC BIG L (RIP MAY 30th 1974-FEB.15th, 1999) See he's a fellow Gemini "
p,@katiejoseph1 thanks so much  so i'm thinking about visiting sam next weekend. should i? would i get to see you?
n,"is melting in this heat, and i cant even see the sun in the sky "
n,Ugh! My back hurts 
p,MariÃ© Digby - Feel.... on repeat while cleaning my room!  1 more test and it's summer!!! 
n,I came in to work late  cuz I didn't look at my schedule. Me upset @ myself
p,"@MELindsey lol, he has no shame "
p,@The_T grats on snapping up the tickets 
p,Watching hairspray  zefron &lt;3 and yay for covering full time hours at the library all week o.o shoot me
p,"Ah, warm bath feels nice. Mary Jane was one hot tamale tonight! Kisses Mz Bitch. "
